Aktive/Passive,Subcategory 1,Subcategory 2,Subcategory 3,Subcategory 4,Year,Amount
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Nutztiere und Nutzpflanzungen  ,,2004,6.8
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Ausrüstungen 2) ,,2004,1001.8
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,,2004,5774.4
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Wohnbauten  ,2004,3359.3
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Nichtwohnbauten  ,2004,2415.1
Aktiva,Alle Anlagegüter 1),Geistiges Eigentum ,,,2004,332.3
Aktiva,Grund und Boden  ,,,,2004,2642.5
Aktiva,Grund und Boden  ,darunter: Bebautes Land ,,,2004,2369.7
Aktiva,Forderungen gegenüber dem Ausland 3) 4)  ,,,,2004,4301.8
Aktiva,  ,,,,2005,14982.7
Aktiva,Sachvermögen,,,,2005,9899.5
Aktiva,Alle Anlagegüter 1),,,,2005,7219.7
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,,,2005,6879.8
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Nutztiere und Nutzpflanzungen  ,,2005,7.4
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Ausrüstungen 2) ,,2005,1016.4
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,,2005,5856.1
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Wohnbauten  ,2005,3417.6
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Nichtwohnbauten  ,2005,2438.5
Aktiva,Alle Anlagegüter 1),Geistiges Eigentum ,,,2005,339.9
Aktiva,Grund und Boden  ,,,,2005,2679.8
Aktiva,Grund und Boden  ,darunter: Bebautes Land ,,,2005,2422.4
Aktiva,Forderungen gegenüber dem Ausland 3) 4)  ,,,,2005,5083.2
Aktiva,  ,,,,2006,15714.2
Aktiva,Sachvermögen,,,,2006,10176.8
Aktiva,Alle Anlagegüter 1),,,,2006,7422.2
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,,,2006,7072.1
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Nutztiere und Nutzpflanzungen  ,,2006,7.8
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Ausrüstungen 2) ,,2006,1046.9
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,,2006,6017.5
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Wohnbauten  ,2006,3524.8
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Nichtwohnbauten  ,2006,2492.7
Aktiva,Alle Anlagegüter 1),Geistiges Eigentum ,,,2006,350.1
Aktiva,Grund und Boden  ,,,,2006,2754.6
Aktiva,Grund und Boden  ,darunter: Bebautes Land ,,,2006,2491.3
Aktiva,Forderungen gegenüber dem Ausland 3) 4)  ,,,,2006,5537.4
Aktiva,  ,,,,2007,16879.6
Aktiva,Sachvermögen,,,,2007,10648
Aktiva,Alle Anlagegüter 1),,,,2007,7863.8
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,,,2007,7500.6
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Nutztiere und Nutzpflanzungen  ,,2007,7.6
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Ausrüstungen 2) ,,2007,1093.4
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,,2007,6399.6
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Wohnbauten  ,2007,3764.5
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Nichtwohnbauten  ,2007,2635.1
Aktiva,Alle Anlagegüter 1),Geistiges Eigentum ,,,2007,363.2
Aktiva,Grund und Boden  ,,,,2007,2784.2
Aktiva,Grund und Boden  ,darunter: Bebautes Land ,,,2007,2512.8
Aktiva,Forderungen gegenüber dem Ausland 3) 4)  ,,,,2007,6231.6
Aktiva,  ,,,,2008,17569.2
Aktiva,Sachvermögen,,,,2008,10995.3
Aktiva,Alle Anlagegüter 1),,,,2008,8171.6
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,,,2008,7792.3
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Nutztiere und Nutzpflanzungen  ,,2008,8.5
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Ausrüstungen 2) ,,2008,1139.6
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,,2008,6644.2
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Wohnbauten  ,2008,3907.5
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Nichtwohnbauten  ,2008,2736.7
Aktiva,Alle Anlagegüter 1),Geistiges Eigentum ,,,2008,379.3
Aktiva,Grund und Boden  ,,,,2008,2823.7
Aktiva,Grund und Boden  ,darunter: Bebautes Land ,,,2008,2531.5
Aktiva,Forderungen gegenüber dem Ausland 3) 4)  ,,,,2008,6573.9
Aktiva,  ,,,,2009,17322.6
Aktiva,Sachvermögen,,,,2009,11165.9
Aktiva,Alle Anlagegüter 1),,,,2009,8287.3
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,,,2009,7899.5
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Nutztiere und Nutzpflanzungen  ,,2009,8.1
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Ausrüstungen 2) ,,2009,1141
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,,2009,6750.4
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Wohnbauten  ,2009,3974.9
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Nichtwohnbauten  ,2009,2775.6
Aktiva,Alle Anlagegüter 1),Geistiges Eigentum ,,,2009,387.8
Aktiva,Grund und Boden  ,,,,2009,2878.6
Aktiva,Grund und Boden  ,darunter: Bebautes Land ,,,2009,2559.8
Aktiva,Forderungen gegenüber dem Ausland 3) 4)  ,,,,2009,6156.7
Aktiva,  ,,,,2010,17930.3
Aktiva,Sachvermögen,,,,2010,11399.3
Aktiva,Alle Anlagegüter 1),,,,2010,8429.2
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,,,2010,8028.4
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Nutztiere und Nutzpflanzungen  ,,2010,8.3
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Ausrüstungen 2) ,,2010,1156.6
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,,2010,6863.5
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Wohnbauten  ,2010,4053.6
Aktiva,Alle Anlagegüter 1),Sachanlagen  ,Bauten  ,Nichtwohnbauten  ,2010,2809.9
Aktiva,Alle Anlagegüter 1),Geistiges Eigentum ,,,2010,400.8
Aktiva,Grund und Boden  ,,,,2010,2970.1
Aktiva,Grund und Boden  ,darunter: Bebautes Land ,,,2010,2624.8
Aktiva,Forderungen gegenüber dem Ausland 3) 4)  ,,,,2010,6531
